Actor,Movie,Country
Bruce Lee,The Real Bruce Lee,Cinema of South Korea
Louisa Moritz,Chained Heat,United States
James Deen,Tori Black Is Pretty Filthy,United States
Roxy DeVille,The Texas Vibrator Massacre,United States
Guy Boyd (actor),Eyes of Fire (film),United States
Robert Urquhart (actor),Golden Ivory,UK
Yuen Biao,Wing Chun (TV series),China
Meng Jia,One and a Half Summer,China
"Song Jia (actress, born 1980)",Once Upon a Time in Tibet,China
Yang Yang (actor),The Lost Tomb,China
Jia Hongsheng,Frozen (1997 film),Cinema of China
Valentina RendÃ_n,BermÃºdez (telenovela),Colombia
RenÃ©e Faure,Bel Ami (1955 film),East Germany
John Light (actor),Dresden (2006 film),Germany
Prudence Liew,To Be or Not to Be (TV series),Hong Kong
Cheung Tat-ming,Justice Sung II,Hong Kong
Yuen Biao,Real Kung Fu,Hong Kong
Kiki Sheung,Rosy Business,Hong Kong
Lee Heung-kam,"The Good, the Bad and the Ugly (1979 TV series)",Hong Kong
Halina Tam,The King of Snooker,Hong Kong
Kiki Sheung,The Yang's Saga,Hong Kong
Gigi Lai,The Dance of Passion,Hong Kong
Kiki Sheung,The Last Breakthrough,Hong Kong
Gigi Lai,The Charm Beneath,Hong Kong
Bruce Lee,Golden Gate Girl,Hong Kong
"Song Jia (actress, born 1980)",On His Majesty's Secret Service,Hong Kong
Louis Cheung,Raising the Bar (2015 TV series),Hong Kong
Yuen Biao,Shaolin Wooden Men,Hong Kong
Nina Li (actress),Twin Dragons,Hong Kong
Gigi Lai,Shades of Truth,Hong Kong
Rosamund Kwan,Casino Raiders,Hong Kong
Bruce Lee,Enter the Dragon,Hong Kong
Yuen Biao,Turning Point (2009 action film),Hong Kong
Lee Heung-kam,A House Is Not a Home (TV series),Hong Kong
Kiki Sheung,The Good Old Days (TV series),Hong Kong
Michael Wong (actor),Treasure Hunt (1994 film),Hong Kong
Rosamund Kwan,The Adventurers (1995 film),Hong Kong
Brigitte Lin,Peking Opera Blues,Hong Kong
Nina Li (actress),Aces Go Places 5: The Terracotta Hit,Hong Kong
Prudence Liew,On the Wrong Track,Hong Kong
Gigi Lai,Dragon in Jail,Hong Kong
Dylan Kuo,Embrace Your Shadow,Hong Kong
Rosamund Kwan,Undeclared War,Hong Kong
Wang Yan (actress),My Fair Princess III,Hong Kong
Yuen Biao,Shogun and Little Kitchen,Hong Kong
Nina Li (actress),"The Fun, the Luck & the Tycoon",Hong Kong
Johnson Lee,Just Love,Hong Kong
Gigi Lai,Life Art,Hong Kong
Kiki Sheung,The Family Link,Hong Kong
Gigi Lai,The Gem of Life,Hong Kong
Gigi Lai,The Ultimate Crime Fighter,Hong Kong
Yuen Biao,The Ultimate Crime Fighter,Hong Kong
Cheung Tat-ming,A Recipe for the Heart,Hong Kong
Christine Kuo,Don Juan DeMercado,Hong Kong
Halina Tam,ICAC Investigators 2009,Hong Kong
Kiki Sheung,Sisters of Pearl,Hong Kong
Kiki Sheung,The Comeback Clan,Hong Kong
Johnson Lee,Twilight Investigation,Hong Kong
Johnson Lee,Awfully Lawful,Hong Kong
Louis Cheung,Gilded Chopsticks,Hong Kong
Yuen Biao,The Legend Is Born: Ip Man,Hong Kong
Brigitte Lin,Fantasy Mission Force,Hong Kong
Rin Takanashi,Killers (2014 film),Indonesia
Isabelle Corey,Head of a Tyrant,Italian language
Yukiji Asaoka,Hanzo the Razor,Japan
Rinako Hirasawa,New Tokyo Decadence â€“ The Slave,Japan
Minami Aoyama,Uncle's Paradise,Japan
Minami Aoyama,Ambiguous (film),Japan
Akiho Yoshizawa,Fascinating Young Hostess: Sexy Thighs,Japan
Rinako Hirasawa,Frog Song,Japan
Akiho Yoshizawa,Temptation: Eating Me,Japan
You (actress),Second Virgin,Japan
Tsutomu Yamazaki,Space Battleship Yamato (2010 film),Japan
Yoshikatsu Fujiki,StrayDog: Kerberos Panzer Cops,Japan
Katsuo Nakamura,Shura (film),Japan
Shinsuke Ashida,Underworld Beauty,Japan
Yasuko Matsuyuki,Helen the Baby Fox,Japan
Rin Takanashi,Killers (2014 film),Japan
Tsutomu Yamazaki,Saiko no Jinsei,Japan
Isako Washio,Immoral Affairs,Japan
Haruna Yabuki,Socialite Belle Panchanne: The Wife Is a Superheroine!,Japan
Yasuko Matsuyuki,Vexille,Japan
Lemon Hanazawa,Molester's Train: Suggestive Indecent Hips,Japan
Lemon Hanazawa,Older Office Lady: Using Her Seductive Tongue,Japan
Sakurako Kaoru,Three Naked Sisters: Lewdness,Japan
Lemon Hanazawa,Wife Taxi: Crowded with Big Tits,Japan
Rin Takanashi,Neo Ultra Q,Japan
Jacques Gamblin,Dr. Akagi,Japan
Minoru Chiaki,The Lower Depths (1957 film),Japan
Joanne Peh,The Journey: A Voyage,Singapore
Joanne Peh,The Journey (trilogy series),Singapore
Paige Chua,Crime Busters x 2,Singapore
Paige Chua,The Dream Catchers,Singapore
Joanne Peh,The Little Nyonya,Singapore
Fiona Xie,Home in Toa Payoh,Singapore
Fiona Xie,Maggi & Me,Singapore
Joanne Peh,After Hours (Singaporean TV series),Singapore
Joanne Peh,The Truth (2008 TV series),Singapore
Paige Chua,Be Happy (TV series),Singapore
Paige Chua,Good Luck (TV series),Singapore
Paige Chua,It's a Wonderful Life (TV series),Singapore
Ng Hui,My Buddy (TV series),Singapore
Ng Hui,The Day It Rained on Our Parade,Singapore
Paige Chua,The Score (TV series),Singapore
Fiona Xie,A War Diary,Singapore
Joanne Peh,"Like Father, Like Daughter",Singapore
Joanne Peh,The Golden Path (TV series),Singapore
Joanne Peh,C.L.I.F. 2,Singapore
Ng Hui,Love Thy Neighbour (TV series),Singapore
